Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,06-Dec-22,"2,682.45","2,665.10","2,697.00","2,661.00","2,689.45","2,690.20","2,685.66","39,66,243","10,65,19,99,752.80","1,56,158","22,04,998",55.59
RELIANCE,EQ,07-Dec-22,"2,690.20","2,685.00","2,695.00","2,642.15","2,647.00","2,650.50","2,665.31","39,05,263","10,40,87,39,251.40","1,58,784","24,25,575",62.11
RELIANCE,EQ,08-Dec-22,"2,650.50","2,660.00","2,665.00","2,640.10","2,649.00","2,649.25","2,651.78","35,79,858","9,49,29,88,488.55","1,44,130","21,90,085",61.18
RELIANCE,EQ,09-Dec-22,"2,649.25","2,646.00","2,660.00","2,601.85","2,609.50","2,609.10","2,627.54","58,40,633","15,34,64,88,528.00","1,72,574","39,27,269",67.24
RELIANCE,EQ,12-Dec-22,"2,609.10","2,585.50","2,623.00","2,585.00","2,617.00","2,613.10","2,607.23","43,74,946","11,40,65,08,900.60","1,51,760","24,39,231",55.75
RELIANCE,EQ,13-Dec-22,"2,613.10","2,613.10","2,633.00","2,606.70","2,622.00","2,625.00","2,622.04","38,45,839","10,08,39,40,253.45","1,36,575","21,71,219",56.46
RELIANCE,EQ,14-Dec-22,"2,625.00","2,637.65","2,638.95","2,611.00","2,613.50","2,615.50","2,620.85","33,54,618","8,79,19,39,261.60","1,49,123","21,35,521",63.66
RELIANCE,EQ,15-Dec-22,"2,615.50","2,602.50","2,615.00","2,571.00","2,580.00","2,578.35","2,590.74","40,09,765","10,38,82,61,664.65","1,75,220","26,29,878",65.59
RELIANCE,EQ,16-Dec-22,"2,578.35","2,571.00","2,618.80","2,558.15","2,567.90","2,565.60","2,583.46","73,08,934","18,88,23,67,676.10","2,16,883","39,95,069",54.66
RELIANCE,EQ,19-Dec-22,"2,565.60","2,581.00","2,604.00","2,566.70","2,603.00","2,599.30","2,582.95","35,67,363","9,21,43,19,519.75","1,74,281","18,81,722",52.75
RELIANCE,EQ,20-Dec-22,"2,599.30","2,583.90","2,626.00","2,566.00","2,619.95","2,621.80","2,594.80","34,46,291","8,94,24,20,886.85","1,65,894","15,67,590",45.49
RELIANCE,EQ,21-Dec-22,"2,621.80","2,621.00","2,633.00","2,576.10","2,583.20","2,584.50","2,601.19","39,35,463","10,23,68,89,380.75","1,42,775","16,77,915",42.64
